Date,Year,Month,Day,UWND,VWND,WSPD,WDIR
2006-11-16,2006,November,16,,,3.6,220.5
2006-11-17,2006,November,17,,,1.5,236.3
2006-11-18,2006,November,18,2.8,1.3,3.1,65.8
2006-11-19,2006,November,19,,2.8,3.0,341.9
2006-11-20,2006,November,20,1.2,0.4,1.3,72.0
2006-11-21,2006,November,21,4.2,,4.7,114.4
2006-11-22,2006,November,22,3.4,,3.9,119.4
2006-11-23,2006,November,23,,2.1,2.6,323.4
2006-11-24,2006,November,24,,1.9,2.0,343.2
2006-11-25,2006,November,25,1.6,0.6,1.7,68.1
2006-11-26,2006,November,26,0.6,,1.4,154.2
2007-10-08,2007,Oktober,8,,2.1,2.1,352.3
2007-10-09,2007,Oktober,9,0.3,3.9,3.9,4.0
2007-10-10,2007,Oktober,10,0.1,3.7,3.7,1.2
2007-10-11,2007,Oktober,11,,0.9,1.1,321.1
2007-10-12,2007,Oktober,12,1.5,,1.6,111.2
2007-10-13,2007,Oktober,13,5.0,1.8,5.3,70.3
2007-10-14,2007,Oktober,14,4.7,2.0,5.1,67.4
2007-10-15,2007,Oktober,15,2.9,,3.0,104.0
2007-10-16,2007,Oktober,16,3.4,1.3,3.7,68.6
2007-10-17,2007,Oktober,17,4.2,0.3,4.2,85.3
2007-10-18,2007,Oktober,18,2.5,,4.0,141.1
2007-10-19,2007,Oktober,19,4.6,,7.5,142.6
2007-10-20,2007,Oktober,20,8.1,,8.2,95.0
2007-10-21,2007,Oktober,21,7.8,,8.5,112.8
2007-10-22,2007,Oktober,22,8.1,,8.1,92.2
2007-10-23,2007,Oktober,23,5.6,4.6,7.2,50.8
2007-10-24,2007,Oktober,24,3.5,4.3,5.5,38.6
2007-10-25,2007,Oktober,25,4.8,4.9,6.9,44.2
2007-10-26,2007,Oktober,26,6.7,5.8,8.9,49.3
2007-10-27,2007,Oktober,27,7.5,5.4,9.2,54.3
2007-10-28,2007,Oktober,28,5.4,4.0,6.7,53.8
2007-10-29,2007,Oktober,29,5.4,0.6,5.4,83.8
2007-10-30,2007,Oktober,30,3.2,0.9,3.4,74.0
2007-10-31,2007,Oktober,31,3.1,,3.2,102.9
2007-11-01,2007,November,1,1.8,2.3,2.9,37.3
2007-11-02,2007,November,2,1.4,4.5,4.7,18.0
2007-11-03,2007,November,3,3.0,6.3,6.9,25.3
2007-11-04,2007,November,4,2.5,0.7,2.6,74.0
2007-11-05,2007,November,5,3.5,,3.7,107.4
2007-11-06,2007,November,6,5.4,0.4,5.4,85.9
2007-11-07,2007,November,7,8.1,,8.2,93.6
2007-11-08,2007,November,8,6.8,0.4,6.8,86.3
2007-11-09,2007,November,9,7.9,0.1,7.9,89.4
2007-11-10,2007,November,10,6.6,0.2,6.6,88.0
2007-11-11,2007,November,11,7.5,0.9,7.6,83.5
2007-11-12,2007,November,12,7.3,2.0,7.5,74.3
2007-11-13,2007,November,13,6.7,0.6,6.8,84.6
2007-11-14,2007,November,14,3.2,0.5,3.3,80.9
2007-11-15,2007,November,15,0.0,,0.6,178.0
2007-11-16,2007,November,16,,,3.4,215.6
2007-11-17,2007,November,17,,,2.9,228.7
2007-11-18,2007,November,18,,1.0,1.8,303.5
2007-11-19,2007,November,19,,2.6,3.0,329.7
2007-11-20,2007,November,20,,2.0,2.6,319.3
2007-11-21,2007,November,21,,3.4,4.2,322.8
2007-11-22,2007,November,22,,1.5,1.7,328.3
2007-11-23,2007,November,23,2.5,,2.7,110.6
2007-11-24,2007,November,24,2.1,,2.1,93.7
2007-11-25,2007,November,25,1.1,0.7,1.3,57.0
2007-11-26,2007,November,26,0.3,2.5,2.5,7.5
2007-11-27,2007,November,27,1.7,0.3,1.7,80.9
2007-11-28,2007,November,28,,,2.9,182.1
2007-11-29,2007,November,29,,,2.1,223.0
2007-11-30,2007,November,30,,0.3,2.5,277.5
2007-12-01,2007,Desember,1,,,3.3,181.6
2007-12-02,2007,Desember,2,,,7.5,203.2
2007-12-03,2007,Desember,3,,,10.3,231.6
2007-12-04,2007,Desember,4,,,9.6,237.2
2007-12-05,2007,Desember,5,,,8.3,242.7
2007-12-06,2007,Desember,6,,,8.0,235.1
2007-12-07,2007,Desember,7,,,7.2,240.0
2007-12-08,2007,Desember,8,1.3,0.9,1.6,54.3
2007-12-09,2007,Desember,9,,,3.9,256.1
2007-12-10,2007,Desember,10,,2.0,2.9,313.0
2007-12-11,2007,Desember,11,,2.2,5.2,295.6
2007-12-12,2007,Desember,12,,2.8,3.4,325.3
2007-12-13,2007,Desember,13,1.1,,2.3,151.4
2007-12-14,2007,Desember,14,3.3,,3.4,105.3
2007-12-15,2007,Desember,15,,,3.8,203.2
2007-12-16,2007,Desember,16,,2.0,2.8,316.0
2007-12-17,2007,Desember,17,,1.7,4.2,293.4
2007-12-18,2007,Desember,18,,,4.3,262.6
2007-12-19,2007,Desember,19,,,4.2,217.1
2007-12-20,2007,Desember,20,,,4.1,259.5
2007-12-21,2007,Desember,21,,,2.7,245.4
2007-12-22,2007,Desember,22,,,1.8,254.0
2007-12-23,2007,Desember,23,3.6,0.5,3.7,81.7
2007-12-24,2007,Desember,24,4.7,,5.4,119.3
2007-12-25,2007,Desember,25,,,3.7,200.4
2007-12-26,2007,Desember,26,,,4.9,187.5
2007-12-27,2007,Desember,27,1.8,,5.8,162.1
2007-12-28,2007,Desember,28,3.4,,6.4,148.3
2007-12-29,2007,Desember,29,0.4,,4.8,175.6
2007-12-30,2007,Desember,30,,,4.0,180.9
2007-12-31,2007,Desember,31,,,2.9,186.1
2008-01-01,2008,Januari,1,,,1.8,254.0
2008-01-02,2008,Januari,2,,1.5,1.7,328.3
2008-01-03,2008,Januari,3,,2.2,3.0,315.7
2008-01-04,2008,Januari,4,0.2,0.9,1.0,12.0
2008-01-05,2008,Januari,5,,,1.0,254.0
2010-07-05,2010,Juli,5,,3.0,3.1,350.4
2010-07-06,2010,Juli,6,0.7,3.3,3.4,12.0
2010-07-07,2010,Juli,7,,5.0,5.2,342.4
2010-07-08,2010,Juli,8,,5.9,6.2,341.3
2010-07-09,2010,Juli,9,0.0,5.8,5.8,360.0
2010-07-10,2010,Juli,10,2.0,6.4,6.7,17.0
2010-07-11,2010,Juli,11,2.1,2.9,3.6,36.2
2010-07-12,2010,Juli,12,1.7,,2.0,120.0
2010-07-13,2010,Juli,13,4.5,,4.7,108.0
2010-07-14,2010,Juli,14,8.1,1.5,8.2,79.7
2010-07-15,2010,Juli,15,8.9,1.1,8.9,82.9
2010-07-16,2010,Juli,16,8.0,2.5,8.4,73.0
2010-07-17,2010,Juli,17,6.8,3.8,7.8,60.8
2010-07-18,2010,Juli,18,7.4,3.0,8.0,67.8
2010-07-19,2010,Juli,19,6.2,4.0,7.4,57.3
2010-07-20,2010,Juli,20,4.7,3.8,6.0,51.1
2010-07-21,2010,Juli,21,3.2,4.3,5.4,37.0
2010-07-22,2010,Juli,22,1.4,6.4,6.6,12.0
2010-07-23,2010,Juli,23,2.3,7.6,8.0,16.9
2010-07-24,2010,Juli,24,4.5,7.1,8.4,32.4
2010-07-25,2010,Juli,25,5.2,5.1,7.3,45.2
2010-07-26,2010,Juli,26,5.5,3.2,6.3,59.8
2010-07-27,2010,Juli,27,5.6,4.0,6.9,54.8
2010-07-28,2010,Juli,28,5.9,5.5,8.1,47.0
2010-07-29,2010,Juli,29,4.2,5.5,6.9,37.2
2010-07-30,2010,Juli,30,3.2,4.7,5.7,34.5
2010-07-31,2010,Juli,31,4.5,3.5,5.7,51.5
2010-08-01,2010,Agustus,1,3.8,5.1,6.4,36.7
2010-08-02,2010,Agustus,2,3.5,6.5,7.4,28.7
2010-08-03,2010,Agustus,3,4.7,6.1,7.7,37.8
2010-08-04,2010,Agustus,4,3.6,5.5,6.6,33.1
2010-08-05,2010,Agustus,5,2.8,4.9,5.7,30.0
2010-08-06,2010,Agustus,6,4.6,4.5,6.5,45.5
2010-08-07,2010,Agustus,7,5.6,4.4,7.1,52.1
2010-08-08,2010,Agustus,8,5.7,3.4,6.6,59.1
2010-08-09,2010,Agustus,9,6.4,3.6,7.4,60.7
2010-08-10,2010,Agustus,10,6.4,3.8,7.5,59.4
2010-08-11,2010,Agustus,11,5.6,5.3,7.7,46.1
2010-08-12,2010,Agustus,12,7.5,5.6,9.4,53.3
2010-08-13,2010,Agustus,13,5.8,3.8,6.9,57.0
2010-08-14,2010,Agustus,14,6.9,5.6,8.9,51.1
2010-08-15,2010,Agustus,15,4.8,3.8,6.1,52.2
2010-08-16,2010,Agustus,16,8.1,0.9,8.1,83.8
2010-08-17,2010,Agustus,17,6.3,0.8,6.4,82.6
2010-08-18,2010,Agustus,18,7.9,0.5,7.9,86.6
2010-08-19,2010,Agustus,19,8.9,0.7,8.9,85.5
2010-08-20,2010,Agustus,20,4.5,3.1,5.5,54.9
2010-08-21,2010,Agustus,21,6.0,4.4,7.4,53.9
2010-08-22,2010,Agustus,22,6.2,3.4,7.1,61.4
2010-08-23,2010,Agustus,23,5.2,5.3,7.4,44.1
2010-08-24,2010,Agustus,24,6.1,6.0,8.5,45.8
2010-08-25,2010,Agustus,25,4.1,7.1,8.2,30.1
2010-08-26,2010,Agustus,26,3.2,4.5,5.5,35.7
2010-08-27,2010,Agustus,27,4.1,3.5,5.4,49.0
2010-08-28,2010,Agustus,28,2.2,6.0,6.4,19.8
2010-08-29,2010,Agustus,29,2.2,4.5,5.0,26.6
2010-08-30,2010,Agustus,30,6.1,1.8,6.4,73.5
2010-08-31,2010,Agustus,31,6.3,1.4,6.5,77.4
2010-09-01,2010,September,1,6.7,1.4,6.9,78.0
2010-09-02,2010,September,2,6.4,4.2,7.6,56.8
2010-09-03,2010,September,3,5.7,6.9,9.0,39.4
2010-09-04,2010,September,4,4.7,6.3,7.9,36.9
2010-09-05,2010,September,5,4.7,3.2,5.7,56.0
2010-09-06,2010,September,6,4.5,2.6,5.2,60.5
2010-09-07,2010,September,7,5.2,1.2,5.3,77.1
2010-09-08,2010,September,8,4.3,2.0,4.8,65.8
2010-09-09,2010,September,9,2.1,2.7,3.5,38.2
2010-09-10,2010,September,10,5.1,3.2,6.0,58.0
2010-09-11,2010,September,11,4.3,2.0,4.8,65.8
2010-09-12,2010,September,12,2.4,4.9,5.5,26.4
2010-09-13,2010,September,13,5.4,4.4,7.0,51.1
2010-09-14,2010,September,14,6.1,1.4,6.3,77.0
2010-09-15,2010,September,15,6.1,2.2,6.5,70.1
2010-09-16,2010,September,16,6.1,1.8,6.4,73.5
2010-09-17,2010,September,17,5.4,1.0,5.5,79.6
2010-09-18,2010,September,18,7.5,1.4,7.6,79.0
2010-09-19,2010,September,19,6.7,2.6,7.2,68.6
2010-09-20,2010,September,20,6.4,3.4,7.3,62.1
2010-09-21,2010,September,21,6.1,2.8,6.7,65.2
2010-09-22,2010,September,22,8.0,2.1,8.3,75.6
2010-09-23,2010,September,23,5.9,1.2,6.1,78.5
2010-09-24,2010,September,24,5.6,,5.6,94.1
2010-09-25,2010,September,25,5.8,,5.9,101.6
2010-09-26,2010,September,26,3.6,,3.6,91.2
2010-09-27,2010,September,27,3.9,,3.9,99.9
2010-09-28,2010,September,28,4.5,3.1,5.5,54.9
2010-09-29,2010,September,29,5.6,,5.8,102.0
2010-09-30,2010,September,30,1.4,1.9,2.4,35.9
2010-10-01,2010,Oktober,1,3.5,3.3,4.8,46.4
2010-10-02,2010,Oktober,2,7.1,0.1,7.1,89.6
2010-10-03,2010,Oktober,3,8.1,0.1,8.1,89.4
2010-10-04,2010,Oktober,4,8.7,0.5,8.7,86.7
2010-10-05,2010,Oktober,5,8.2,2.3,8.5,74.6
2010-10-06,2010,Oktober,6,5.5,3.0,6.2,61.4
2010-10-07,2010,Oktober,7,4.8,3.8,6.1,52.2
2010-10-08,2010,Oktober,8,4.2,5.3,6.8,38.2
2010-10-09,2010,Oktober,9,3.5,6.9,7.7,27.2
2010-10-10,2010,Oktober,10,4.9,6.7,8.3,36.2
2010-10-11,2010,Oktober,11,7.3,5.0,8.9,55.7
2010-10-12,2010,Oktober,12,8.4,3.5,9.1,67.6
2010-10-13,2010,Oktober,13,8.2,2.7,8.6,72.0
2010-10-14,2010,Oktober,14,7.8,2.9,8.3,70.0
2010-10-15,2010,Oktober,15,7.1,1.6,7.3,77.0
2010-10-16,2010,Oktober,16,6.5,2.2,6.8,71.1
2010-10-17,2010,Oktober,17,5.7,2.6,6.2,65.5
2010-10-18,2010,Oktober,18,4.9,2.2,5.4,66.2
2010-10-19,2010,Oktober,19,4.1,2.5,4.8,58.3
2010-10-20,2010,Oktober,20,4.3,2.5,5.0,59.4
2010-10-21,2010,Oktober,21,7.0,3.0,7.7,66.8
2010-10-22,2010,Oktober,22,6.5,0.6,6.6,84.5
2010-10-23,2010,Oktober,23,6.9,0.2,7.0,88.0
2010-10-24,2010,Oktober,24,6.2,,6.2,97.2
2010-10-25,2010,Oktober,25,4.8,0.2,4.8,88.0
2010-10-26,2010,Oktober,26,4.2,0.3,4.2,85.3
2010-10-27,2010,Oktober,27,4.5,,4.7,108.0
2010-10-28,2010,Oktober,28,4.8,0.6,4.8,83.2
2010-10-29,2010,Oktober,29,2.3,0.7,2.4,72.7
2010-10-30,2010,Oktober,30,3.2,2.1,3.8,56.0
2010-10-31,2010,Oktober,31,4.6,0.0,4.6,90.5
2010-11-01,2010,November,1,5.4,0.2,5.4,88.0
2010-11-02,2010,November,2,8.0,,8.3,106.0
2010-11-03,2010,November,3,6.7,,7.8,121.7
2010-11-04,2010,November,4,9.5,0.1,9.5,89.2
2010-11-05,2010,November,5,9.2,3.1,9.7,71.4
2010-11-06,2010,November,6,6.0,4.0,7.2,56.5
2010-11-07,2010,November,7,4.1,3.0,5.0,54.3
2010-11-08,2010,November,8,3.8,0.9,3.9,76.1
2010-11-09,2010,November,9,2.9,,3.2,114.6
2010-11-10,2010,November,10,7.1,1.8,7.3,75.5
2010-11-11,2010,November,11,9.0,,9.2,102.9
2010-11-12,2010,November,12,4.6,,4.7,95.4
2010-11-13,2010,November,13,2.7,,2.7,92.4
2010-11-14,2010,November,14,4.4,1.4,4.6,72.7
2010-11-15,2010,November,15,3.6,0.1,3.6,88.0
2010-11-16,2010,November,16,1.5,,1.6,104.0
2010-11-17,2010,November,17,,,2.1,189.3
2010-11-18,2010,November,18,1.3,,1.6,121.7
2010-11-19,2010,November,19,0.3,,0.8,159.6
2010-11-20,2010,November,20,0.2,1.1,1.1,9.3
2010-11-21,2010,November,21,2.1,,2.2,109.8
2010-11-22,2010,November,22,5.6,0.8,5.6,81.9
2010-11-23,2010,November,23,6.2,,6.2,95.3
2010-11-24,2010,November,24,5.1,2.2,5.6,67.0
2010-11-25,2010,November,25,5.0,0.2,5.0,88.0
2010-11-26,2010,November,26,6.2,,6.3,99.0
2010-11-27,2010,November,27,8.0,,8.3,106.0
2010-11-28,2010,November,28,0.3,,0.8,159.6
2010-11-29,2010,November,29,,,3.3,230.4
2010-11-30,2010,November,30,,0.9,3.8,283.5
2010-12-01,2010,Desember,1,1.7,,2.8,142.0
2010-12-02,2010,Desember,2,3.9,,5.4,133.0
2010-12-03,2010,Desember,3,3.1,2.3,3.9,53.5
2010-12-04,2010,Desember,4,2.2,4.5,5.0,26.6
2010-12-05,2010,Desember,5,6.8,5.0,8.4,53.6
2010-12-06,2010,Desember,6,6.1,1.8,6.4,73.5
2010-12-07,2010,Desember,7,3.8,0.1,3.8,88.0
2010-12-08,2010,Desember,8,1.1,,1.5,133.0
2010-12-09,2010,Desember,9,1.8,1.3,2.2,54.3
2010-12-10,2010,Desember,10,3.8,1.5,4.1,67.8
2010-12-11,2010,Desember,11,4.8,,4.8,92.8
2010-12-12,2010,Desember,12,5.6,0.0,5.6,90.0
2010-12-13,2010,Desember,13,2.5,,3.0,121.7
2010-12-14,2010,Desember,14,,,2.7,186.8
2010-12-15,2010,Desember,15,0.1,,3.3,178.0
2010-12-16,2010,Desember,16,0.1,,2.5,178.0
2010-12-17,2010,Desember,17,,,2.2,194.7
2010-12-18,2010,Desember,18,,,2.1,238.9
2010-12-19,2010,Desember,19,,,1.2,223.0
2010-12-20,2010,Desember,20,,0.8,1.9,294.6
2010-12-21,2010,Desember,21,,,2.9,208.3
2010-12-22,2010,Desember,22,,,1.5,259.9
2010-12-23,2010,Desember,23,,2.2,2.6,329.4
2010-12-24,2010,Desember,24,0.1,2.9,2.9,2.1
2010-12-25,2010,Desember,25,,1.1,1.2,336.2
2010-12-26,2010,Desember,26,1.1,0.5,1.2,66.2
2010-12-27,2010,Desember,27,,1.2,2.2,301.7
2010-12-28,2010,Desember,28,,2.0,2.6,319.3
2010-12-29,2010,Desember,29,,1.2,2.6,296.6
2010-12-30,2010,Desember,30,0.5,,1.2,156.2
2010-12-31,2010,Desember,31,0.5,,3.5,171.3
2011-01-01,2011,Januari,1,0.1,,1.7,178.0
2011-01-02,2011,Januari,2,,2.0,2.6,319.3
2011-01-03,2011,Januari,3,,1.4,2.9,298.3
2011-01-04,2011,Januari,4,,3.6,3.8,342.5
2011-01-05,2011,Januari,5,,3.8,3.9,346.1
2011-01-06,2011,Januari,6,1.9,7.0,7.3,15.4
2011-01-07,2011,Januari,7,2.2,5.8,6.2,20.5
2011-01-08,2011,Januari,8,0.4,4.6,4.7,5.4
2011-01-09,2011,Januari,9,2.8,5.3,6.0,28.0
2011-01-10,2011,Januari,10,3.7,3.5,5.1,46.2
2011-01-11,2011,Januari,11,4.5,2.4,5.1,62.4
2011-01-12,2011,Januari,12,4.5,,4.6,105.7
2011-01-13,2011,Januari,13,0.5,,2.7,169.2
2011-01-14,2011,Januari,14,,,0.9,254.0
2011-01-15,2011,Januari,15,,,0.6,241.4
2011-01-16,2011,Januari,16,0.5,0.3,0.6,61.4
2011-01-17,2011,Januari,17,,,1.3,187.5
2011-01-18,2011,Januari,18,,,3.5,213.5
2011-01-19,2011,Januari,19,,,5.5,218.6
2011-01-20,2011,Januari,20,,,4.9,189.8
2011-01-21,2011,Januari,21,,,4.8,223.0
2011-01-22,2011,Januari,22,,,7.2,217.4
2011-01-23,2011,Januari,23,,,5.9,225.7
2011-01-24,2011,Januari,24,,,5.7,243.2
2011-01-25,2011,Januari,25,,,4.3,254.6
2011-01-26,2011,Januari,26,,,3.9,259.0
2011-01-27,2011,Januari,27,,1.3,1.4,339.6
2011-06-06,2011,Juni,6,4.9,4.5,6.6,47.8
2011-06-07,2011,Juni,7,4.5,4.7,6.5,44.2
2011-06-08,2011,Juni,8,4.5,5.4,7.0,39.6
2011-06-09,2011,Juni,9,3.7,5.8,6.9,32.6
2011-06-10,2011,Juni,10,3.4,5.0,6.0,33.8
2011-06-11,2011,Juni,11,2.6,5.2,5.8,26.3
2011-06-12,2011,Juni,12,1.9,5.9,6.2,18.1
2011-06-13,2011,Juni,13,3.1,6.2,6.9,26.7
2011-06-14,2011,Juni,14,5.0,5.8,7.7,41.0
2011-06-15,2011,Juni,15,5.7,4.5,7.2,51.8
2011-06-16,2011,Juni,16,6.7,3.1,7.4,64.8
2011-06-17,2011,Juni,17,6.1,3.1,6.9,62.9
2011-06-18,2011,Juni,18,5.3,3.9,6.6,53.8
2011-06-19,2011,Juni,19,4.3,5.2,6.8,39.5
2011-06-20,2011,Juni,20,4.0,4.1,5.7,44.4
2011-06-21,2011,Juni,21,4.9,4.7,6.8,46.5
2011-06-22,2011,Juni,22,5.9,4.7,7.5,51.4
2011-06-23,2011,Juni,23,5.1,4.1,6.5,51.5
2011-06-24,2011,Juni,24,6.1,4.3,7.4,54.7
2011-06-25,2011,Juni,25,7.8,4.1,8.8,62.0
2011-06-26,2011,Juni,26,6.1,3.3,7.0,61.4
2011-06-27,2011,Juni,27,6.8,3.9,7.9,60.2
2011-06-28,2011,Juni,28,6.5,2.6,7.0,68.6
2011-06-29,2011,Juni,29,3.9,1.1,4.1,74.0
2011-06-30,2011,Juni,30,3.5,3.1,4.6,48.2
2011-07-01,2011,Juli,1,4.2,4.3,6.0,44.3
2011-07-02,2011,Juli,2,4.2,3.9,5.7,47.2
2011-07-03,2011,Juli,3,4.2,3.9,5.7,47.2
2011-07-04,2011,Juli,4,1.0,5.0,5.1,11.5
2011-07-05,2011,Juli,5,0.0,6.2,6.2,359.8
2011-07-06,2011,Juli,6,0.0,5.9,5.9,359.9
2011-07-07,2011,Juli,7,,5.5,5.5,353.9
2011-07-08,2011,Juli,8,,5.5,5.5,355.9
2011-07-09,2011,Juli,9,6.1,2.8,6.7,65.9
2011-07-10,2011,Juli,10,9.1,1.1,9.1,83.1
2011-07-11,2011,Juli,11,9.0,2.4,9.3,74.8
2011-07-12,2011,Juli,12,8.2,3.6,8.9,66.4
2011-07-13,2011,Juli,13,6.6,5.1,8.3,52.5
2011-07-14,2011,Juli,14,7.3,3.2,7.9,66.5
2011-07-15,2011,Juli,15,5.5,3.5,6.5,57.6
2011-07-16,2011,Juli,16,2.2,4.6,5.1,25.6
2011-07-17,2011,Juli,17,,3.9,4.2,338.7
2011-07-18,2011,Juli,18,,4.7,4.9,344.0
2011-07-19,2011,Juli,19,,6.6,6.7,353.0
2011-07-20,2011,Juli,20,2.1,5.6,6.0,21.2
2011-07-21,2011,Juli,21,1.3,6.5,6.6,11.6
2011-07-22,2011,Juli,22,1.8,5.7,6.0,17.0
2011-07-23,2011,Juli,23,1.9,6.5,6.8,16.4
2011-07-24,2011,Juli,24,0.5,7.4,7.4,4.0
2011-07-25,2011,Juli,25,1.7,7.1,7.3,13.5
2011-07-26,2011,Juli,26,4.1,5.8,7.1,35.2
2011-07-27,2011,Juli,27,4.9,4.5,6.6,47.8
2011-07-28,2011,Juli,28,3.5,5.6,6.6,32.2
2011-07-29,2011,Juli,29,1.9,6.9,7.1,15.4
2011-07-30,2011,Juli,30,1.0,5.5,5.6,10.1
2011-07-31,2011,Juli,31,3.0,3.3,4.5,43.0
2011-08-01,2011,Agustus,1,2.8,5.2,5.9,28.0
2011-08-02,2011,Agustus,2,3.1,6.0,6.7,27.5
2011-08-03,2011,Agustus,3,0.7,4.0,4.1,9.3
2011-08-04,2011,Agustus,4,,2.8,2.9,349.9
2011-08-05,2011,Agustus,5,,3.0,3.0,358.0
2011-08-06,2011,Agustus,6,1.9,3.3,3.8,30.0
2011-08-07,2011,Agustus,7,3.3,5.8,6.7,29.8
2011-08-08,2011,Agustus,8,1.8,5.2,5.5,19.0
2011-08-09,2011,Agustus,9,0.0,5.1,5.1,0.2
2011-08-10,2011,Agustus,10,1.6,4.2,4.5,21.2
2011-08-11,2011,Agustus,11,2.7,3.5,4.4,37.5
2011-08-12,2011,Agustus,12,4.7,4.3,6.4,48.0
2011-08-13,2011,Agustus,13,4.7,5.0,6.9,43.0
2011-08-14,2011,Agustus,14,2.5,2.1,3.3,50.4
2011-08-15,2011,Agustus,15,4.4,3.9,5.8,48.4
2011-08-16,2011,Agustus,16,1.2,5.2,5.3,13.1
2011-08-17,2011,Agustus,17,,4.9,4.9,358.0
2011-08-18,2011,Agustus,18,3.1,5.0,5.9,32.2
2011-08-19,2011,Agustus,19,3.1,5.6,6.4,29.3
2011-08-20,2011,Agustus,20,0.8,4.6,4.7,10.3
2011-08-21,2011,Agustus,21,1.0,5.0,5.1,11.5
2011-08-22,2011,Agustus,22,0.2,4.4,4.4,3.2
2011-08-23,2011,Agustus,23,1.8,5.7,6.0,17.0
2011-08-24,2011,Agustus,24,1.1,4.0,4.2,14.7
2011-08-25,2011,Agustus,25,,3.8,3.8,352.0
2011-08-26,2011,Agustus,26,1.3,3.3,3.5,21.6
2011-08-27,2011,Agustus,27,2.2,4.6,5.1,25.6
2011-08-28,2011,Agustus,28,3.9,5.8,7.0,33.9
2011-08-29,2011,Agustus,29,2.2,4.4,4.9,26.6
2011-08-30,2011,Agustus,30,,5.3,5.3,355.9
2011-08-31,2011,Agustus,31,,5.4,5.7,344.0
2011-09-01,2011,September,1,,5.3,5.3,353.8
2011-09-02,2011,September,2,,5.5,5.5,349.9
2011-09-03,2011,September,3,,3.6,3.6,348.5
2011-09-04,2011,September,4,,3.3,4.0,325.1
2011-09-05,2011,September,5,,3.9,4.4,331.4
2011-09-06,2011,September,6,3.4,3.9,5.2,41.5
